ID	RegimeName	Category	ShortDescription	Region	ExampleCountry
102	Regime 102	Algorithmic Governance	Automated decision systems guiding policy and regulation #102	Global	United Nations
103	Regime 103	Nation-State Governance	Traditional state model with centralized authority #103	Africa	South Africa
104	Regime 104	Market-Dominant Governance	Economic-driven governance emphasizing market forces #104	Asia	South Korea
105	Regime 105	Algorithmic Governance	Automated decision systems guiding policy and regulation #105	Europe	Spain
106	Regime 106	Nation-State Governance	Traditional state model with centralized authority #106	Americas	United States
107	Regime 107	Market-Dominant Governance	Economic-driven governance emphasizing market forces #107	Oceania	New Zealand
108	Regime 108	Algorithmic Governance	Automated decision systems guiding policy and regulation #108	Global	Multinational Consortium
109	Regime 109	Nation-State Governance	Traditional state model with centralized authority #109	Africa	Egypt
110	Regime 110	Market-Dominant Governance	Economic-driven governance emphasizing market forces #110	Asia	Indonesia
111	Regime 111	Algorithmic Governance	Automated decision systems guiding policy and regulation #111	Europe	United Kingdom
112	Regime 112	Nation-State Governance	Traditional state model with centralized authority #112	Americas	Canada
113	Regime 113	Market-Dominant Governance	Economic-driven governance emphasizing market forces #113	Oceania	Fiji
114	Regime 114	Algorithmic Governance	Automated decision systems guiding policy and regulation #114	Global	Global Financial Forum
115	Regime 115	Nation-State Governance	Traditional state model with centralized authority #115	Africa	Ghana
116	Regime 116	Market-Dominant Governance	Economic-driven governance emphasizing market forces #116	Asia	China
117	Regime 117	Algorithmic Governance	Automated decision systems guiding policy and regulation #117	Europe	Germany
118	Regime 118	Nation-State Governance	Traditional state model with centralized authority #118	Americas	Brazil
119	Regime 119	Market-Dominant Governance	Economic-driven governance emphasizing market forces #119	Oceania	Papua New Guinea
120	Regime 120	Algorithmic Governance	Automated decision systems guiding policy and regulation #120	Global	International Coalition
121	Regime 121	Nation-State Governance	Traditional state model with centralized authority #121	Africa	Nigeria
122	Regime 122	Market-Dominant Governance	Economic-driven governance emphasizing market forces #122	Asia	India
123	Regime 123	Algorithmic Governance	Automated decision systems guiding policy and regulation #123	Europe	France
124	Regime 124	Nation-State Governance	Traditional state model with centralized authority #124	Americas	Mexico
125	Regime 125	Market-Dominant Governance	Economic-driven governance emphasizing market forces #125	Oceania	Samoa
126	Regime 126	Algorithmic Governance	Automated decision systems guiding policy and regulation #126	Global	European Union
127	Regime 127	Nation-State Governance	Traditional state model with centralized authority #127	Africa	Kenya
128	Regime 128	Market-Dominant Governance	Economic-driven governance emphasizing market forces #128	Asia	Japan
129	Regime 129	Algorithmic Governance	Automated decision systems guiding policy and regulation #129	Europe	Italy
130	Regime 130	Nation-State Governance	Traditional state model with centralized authority #130	Americas	Argentina
131	Regime 131	Market-Dominant Governance	Economic-driven governance emphasizing market forces #131	Oceania	Australia
132	Regime 132	Algorithmic Governance	Automated decision systems guiding policy and regulation #132	Global	United Nations
133	Regime 133	Nation-State Governance	Traditional state model with centralized authority #133	Africa	South Africa
134	Regime 134	Market-Dominant Governance	Economic-driven governance emphasizing market forces #134	Asia	South Korea
135	Regime 135	Algorithmic Governance	Automated decision systems guiding policy and regulation #135	Europe	Spain
136	Regime 136	Nation-State Governance	Traditional state model with centralized authority #136	Americas	United States
137	Regime 137	Market-Dominant Governance	Economic-driven governance emphasizing market forces #137	Oceania	New Zealand
138	Regime 138	Algorithmic Governance	Automated decision systems guiding policy and regulation #138	Global	Multinational Consortium
139	Regime 139	Nation-State Governance	Traditional state model with centralized authority #139	Africa	Egypt
140	Regime 140	Market-Dominant Governance	Economic-driven governance emphasizing market forces #140	Asia	Indonesia
141	Regime 141	Algorithmic Governance	Automated decision systems guiding policy and regulation #141	Europe	United Kingdom
142	Regime 142	Nation-State Governance	Traditional state model with centralized authority #142	Americas	Canada
143	Regime 143	Market-Dominant Governance	Economic-driven governance emphasizing market forces #143	Oceania	Fiji
144	Regime 144	Algorithmic Governance	Automated decision systems guiding policy and regulation #144	Global	Global Financial Forum
145	Regime 145	Nation-State Governance	Traditional state model with centralized authority #145	Africa	Ghana
146	Regime 146	Market-Dominant Governance	Economic-driven governance emphasizing market forces #146	Asia	China
147	Regime 147	Algorithmic Governance	Automated decision systems guiding policy and regulation #147	Europe	Germany
148	Regime 148	Nation-State Governance	Traditional state model with centralized authority #148	Americas	Brazil
149	Regime 149	Market-Dominant Governance	Economic-driven governance emphasizing market forces #149	Oceania	Papua New Guinea
150	Regime 150	Algorithmic Governance	Automated decision systems guiding policy and regulation #150	Global	International Coalition
151	Regime 151	Nation-State Governance	Traditional state model with centralized authority #151	Africa	Nigeria
152	Regime 152	Market-Dominant Governance	Economic-driven governance emphasizing market forces #152	Asia	India
153	Regime 153	Algorithmic Governance	Automated decision systems guiding policy and regulation #153	Europe	France
154	Regime 154	Nation-State Governance	Traditional state model with centralized authority #154	Americas	Mexico
155	Regime 155	Market-Dominant Governance	Economic-driven governance emphasizing market forces #155	Oceania	Samoa
156	Regime 156	Algorithmic Governance	Automated decision systems guiding policy and regulation #156	Global	European Union
157	Regime 157	Nation-State Governance	Traditional state model with centralized authority #157	Africa	Kenya
158	Regime 158	Market-Dominant Governance	Economic-driven governance emphasizing market forces #158	Asia	Japan
159	Regime 159	Algorithmic Governance	Automated decision systems guiding policy and regulation #159	Europe	Italy
160	Regime 160	Nation-State Governance	Traditional state model with centralized authority #160	Americas	Argentina
161	Regime 161	Market-Dominant Governance	Economic-driven governance emphasizing market forces #161	Oceania	Australia
162	Regime 162	Algorithmic Governance	Automated decision systems guiding policy and regulation #162	Global	United Nations
163	Regime 163	Nation-State Governance	Traditional state model with centralized authority #163	Africa	South Africa
164	Regime 164	Market-Dominant Governance	Economic-driven governance emphasizing market forces #164	Asia	South Korea
165	Regime 165	Algorithmic Governance	Automated decision systems guiding policy and regulation #165	Europe	Spain
166	Regime 166	Nation-State Governance	Traditional state model with centralized authority #166	Americas	United States
167	Regime 167	Market-Dominant Governance	Economic-driven governance emphasizing market forces #167	Oceania	New Zealand
168	Regime 168	Algorithmic Governance	Automated decision systems guiding policy and regulation #168	Global	Multinational Consortium
169	Regime 169	Nation-State Governance	Traditional state model with centralized authority #169	Africa	Egypt
170	Regime 170	Market-Dominant Governance	Economic-driven governance emphasizing market forces #170	Asia	Indonesia
171	Regime 171	Algorithmic Governance	Automated decision systems guiding policy and regulation #171	Europe	United Kingdom
172	Regime 172	Nation-State Governance	Traditional state model with centralized authority #172	Americas	Canada
173	Regime 173	Market-Dominant Governance	Economic-driven governance emphasizing market forces #173	Oceania	Fiji
174	Regime 174	Algorithmic Governance	Automated decision systems guiding policy and regulation #174	Global	Global Financial Forum
175	Regime 175	Nation-State Governance	Traditional state model with centralized authority #175	Africa	Ghana
176	Regime 176	Market-Dominant Governance	Economic-driven governance emphasizing market forces #176	Asia	China
177	Regime 177	Algorithmic Governance	Automated decision systems guiding policy and regulation #177	Europe	Germany
178	Regime 178	Nation-State Governance	Traditional state model with centralized authority #178	Americas	Brazil
179	Regime 179	Market-Dominant Governance	Economic-driven governance emphasizing market forces #179	Oceania	Papua New Guinea
180	Regime 180	Algorithmic Governance	Automated decision systems guiding policy and regulation #180	Global	International Coalition
181	Regime 181	Nation-State Governance	Traditional state model with centralized authority #181	Africa	Nigeria
182	Regime 182	Market-Dominant Governance	Economic-driven governance emphasizing market forces #182	Asia	India
183	Regime 183	Algorithmic Governance	Automated decision systems guiding policy and regulation #183	Europe	France
184	Regime 184	Nation-State Governance	Traditional state model with centralized authority #184	Americas	Mexico
185	Regime 185	Market-Dominant Governance	Economic-driven governance emphasizing market forces #185	Oceania	Samoa
186	Regime 186	Algorithmic Governance	Automated decision systems guiding policy and regulation #186	Global	European Union
187	Regime 187	Nation-State Governance	Traditional state model with centralized authority #187	Africa	Kenya
188	Regime 188	Market-Dominant Governance	Economic-driven governance emphasizing market forces #188	Asia	Japan
189	Regime 189	Algorithmic Governance	Automated decision systems guiding policy and regulation #189	Europe	Italy
190	Regime 190	Nation-State Governance	Traditional state model with centralized authority #190	Americas	Argentina
191	Regime 191	Market-Dominant Governance	Economic-driven governance emphasizing market forces #191	Oceania	Australia
192	Regime 192	Algorithmic Governance	Automated decision systems guiding policy and regulation #192	Global	United Nations
193	Regime 193	Nation-State Governance	Traditional state model with centralized authority #193	Africa	South Africa
194	Regime 194	Market-Dominant Governance	Economic-driven governance emphasizing market forces #194	Asia	South Korea
195	Regime 195	Algorithmic Governance	Automated decision systems guiding policy and regulation #195	Europe	Spain
196	Regime 196	Nation-State Governance	Traditional state model with centralized authority #196	Americas	United States
197	Regime 197	Market-Dominant Governance	Economic-driven governance emphasizing market forces #197	Oceania	New Zealand
198	Regime 198	Algorithmic Governance	Automated decision systems guiding policy and regulation #198	Global	Multinational Consortium
199	Regime 199	Nation-State Governance	Traditional state model with centralized authority #199	Africa	Egypt
200	Regime 200	Market-Dominant Governance	Economic-driven governance emphasizing market forces #200	Asia	Indonesia
201	Regime 201	Algorithmic Governance	Automated decision systems guiding policy and regulation #201	Europe	United Kingdom
202	Regime 202	Nation-State Governance	Traditional state model with centralized authority #202	Americas	Canada
203	Regime 203	Market-Dominant Governance	Economic-driven governance emphasizing market forces #203	Oceania	Fiji
204	Regime 204	Algorithmic Governance	Automated decision systems guiding policy and regulation #204	Global	Global Financial Forum
205	Regime 205	Nation-State Governance	Traditional state model with centralized authority #205	Africa	Ghana
206	Regime 206	Market-Dominant Governance	Economic-driven governance emphasizing market forces #206	Asia	China
207	Regime 207	Algorithmic Governance	Automated decision systems guiding policy and regulation #207	Europe	Germany
208	Regime 208	Nation-State Governance	Traditional state model with centralized authority #208	Americas	Brazil
209	Regime 209	Market-Dominant Governance	Economic-driven governance emphasizing market forces #209	Oceania	Papua New Guinea
210	Regime 210	Algorithmic Governance	Automated decision systems guiding policy and regulation #210	Global	International Coalition
211	Regime 211	Nation-State Governance	Traditional state model with centralized authority #211	Africa	Nigeria
212	Regime 212	Market-Dominant Governance	Economic-driven governance emphasizing market forces #212	Asia	India
213	Regime 213	Algorithmic Governance	Automated decision systems guiding policy and regulation #213	Europe	France
214	Regime 214	Nation-State Governance	Traditional state model with centralized authority #214	Americas	Mexico
215	Regime 215	Market-Dominant Governance	Economic-driven governance emphasizing market forces #215	Oceania	Samoa
216	Regime 216	Algorithmic Governance	Automated decision systems guiding policy and regulation #216	Global	European Union
217	Regime 217	Nation-State Governance	Traditional state model with centralized authority #217	Africa	Kenya
218	Regime 218	Market-Dominant Governance	Economic-driven governance emphasizing market forces #218	Asia	Japan
219	Regime 219	Algorithmic Governance	Automated decision systems guiding policy and regulation #219	Europe	Italy
220	Regime 220	Nation-State Governance	Traditional state model with centralized authority #220	Americas	Argentina
221	Regime 221	Market-Dominant Governance	Economic-driven governance emphasizing market forces #221	Oceania	Australia
222	Regime 222	Algorithmic Governance	Automated decision systems guiding policy and regulation #222	Global	United Nations
223	Regime 223	Nation-State Governance	Traditional state model with centralized authority #223	Africa	South Africa
224	Regime 224	Market-Dominant Governance	Economic-driven governance emphasizing market forces #224	Asia	South Korea
225	Regime 225	Algorithmic Governance	Automated decision systems guiding policy and regulation #225	Europe	Spain
226	Regime 226	Nation-State Governance	Traditional state model with centralized authority #226	Americas	United States
227	Regime 227	Market-Dominant Governance	Economic-driven governance emphasizing market forces #227	Oceania	New Zealand
228	Regime 228	Algorithmic Governance	Automated decision systems guiding policy and regulation #228	Global	Multinational Consortium
229	Regime 229	Nation-State Governance	Traditional state model with centralized authority #229	Africa	Egypt
230	Regime 230	Market-Dominant Governance	Economic-driven governance emphasizing market forces #230	Asia	Indonesia
231	Regime 231	Algorithmic Governance	Automated decision systems guiding policy and regulation #231	Europe	United Kingdom
232	Regime 232	Nation-State Governance	Traditional state model with centralized authority #232	Americas	Canada
233	Regime 233	Market-Dominant Governance	Economic-driven governance emphasizing market forces #233	Oceania	Fiji
234	Regime 234	Algorithmic Governance	Automated decision systems guiding policy and regulation #234	Global	Global Financial Forum
235	Regime 235	Nation-State Governance	Traditional state model with centralized authority #235	Africa	Ghana
236	Regime 236	Market-Dominant Governance	Economic-driven governance emphasizing market forces #236	Asia	China
237	Regime 237	Algorithmic Governance	Automated decision systems guiding policy and regulation #237	Europe	Germany
238	Regime 238	Nation-State Governance	Traditional state model with centralized authority #238	Americas	Brazil
239	Regime 239	Market-Dominant Governance	Economic-driven governance emphasizing market forces #239	Oceania	Papua New Guinea
240	Regime 240	Algorithmic Governance	Automated decision systems guiding policy and regulation #240	Global	International Coalition
241	Regime 241	Nation-State Governance	Traditional state model with centralized authority #241	Africa	Nigeria
242	Regime 242	Market-Dominant Governance	Economic-driven governance emphasizing market forces #242	Asia	India
243	Regime 243	Algorithmic Governance	Automated decision systems guiding policy and regulation #243	Europe	France
244	Regime 244	Nation-State Governance	Traditional state model with centralized authority #244	Americas	Mexico
245	Regime 245	Market-Dominant Governance	Economic-driven governance emphasizing market forces #245	Oceania	Samoa
246	Regime 246	Algorithmic Governance	Automated decision systems guiding policy and regulation #246	Global	European Union
247	Regime 247	Nation-State Governance	Traditional state model with centralized authority #247	Africa	Kenya
248	Regime 248	Market-Dominant Governance	Economic-driven governance emphasizing market forces #248	Asia	Japan
249	Regime 249	Algorithmic Governance	Automated decision systems guiding policy and regulation #249	Europe	Italy
250	Regime 250	Nation-State Governance	Traditional state model with centralized authority #250	Americas	Argentina
251	Regime 251	Market-Dominant Governance	Economic-driven governance emphasizing market forces #251	Oceania	Australia
252	Regime 252	Algorithmic Governance	Automated decision systems guiding policy and regulation #252	Global	United Nations
253	Regime 253	Nation-State Governance	Traditional state model with centralized authority #253	Africa	South Africa
254	Regime 254	Market-Dominant Governance	Economic-driven governance emphasizing market forces #254	Asia	South Korea
255	Regime 255	Algorithmic Governance	Automated decision systems guiding policy and regulation #255	Europe	Spain
256	Regime 256	Nation-State Governance	Traditional state model with centralized authority #256	Americas	United States
257	Regime 257	Market-Dominant Governance	Economic-driven governance emphasizing market forces #257	Oceania	New Zealand
258	Regime 258	Algorithmic Governance	Automated decision systems guiding policy and regulation #258	Global	Multinational Consortium
259	Regime 259	Nation-State Governance	Traditional state model with centralized authority #259	Africa	Egypt
260	Regime 260	Market-Dominant Governance	Economic-driven governance emphasizing market forces #260	Asia	Indonesia
261	Regime 261	Algorithmic Governance	Automated decision systems guiding policy and regulation #261	Europe	United Kingdom
262	Regime 262	Nation-State Governance	Traditional state model with centralized authority #262	Americas	Canada
263	Regime 263	Market-Dominant Governance	Economic-driven governance emphasizing market forces #263	Oceania	Fiji
264	Regime 264	Algorithmic Governance	Automated decision systems guiding policy and regulation #264	Global	Global Financial Forum
265	Regime 265	Nation-State Governance	Traditional state model with centralized authority #265	Africa	Ghana
266	Regime 266	Market-Dominant Governance	Economic-driven governance emphasizing market forces #266	Asia	China
267	Regime 267	Algorithmic Governance	Automated decision systems guiding policy and regulation #267	Europe	Germany
268	Regime 268	Nation-State Governance	Traditional state model with centralized authority #268	Americas	Brazil
269	Regime 269	Market-Dominant Governance	Economic-driven governance emphasizing market forces #269	Oceania	Papua New Guinea
270	Regime 270	Algorithmic Governance	Automated decision systems guiding policy and regulation #270	Global	International Coalition
271	Regime 271	Nation-State Governance	Traditional state model with centralized authority #271	Africa	Nigeria
272	Regime 272	Market-Dominant Governance	Economic-driven governance emphasizing market forces #272	Asia	India
273	Regime 273	Algorithmic Governance	Automated decision systems guiding policy and regulation #273	Europe	France
274	Regime 274	Nation-State Governance	Traditional state model with centralized authority #274	Americas	Mexico
275	Regime 275	Market-Dominant Governance	Economic-driven governance emphasizing market forces #275	Oceania	Samoa
276	Regime 276	Algorithmic Governance	Automated decision systems guiding policy and regulation #276	Global	European Union
277	Regime 277	Nation-State Governance	Traditional state model with centralized authority #277	Africa	Kenya
278	Regime 278	Market-Dominant Governance	Economic-driven governance emphasizing market forces #278	Asia	Japan
279	Regime 279	Algorithmic Governance	Automated decision systems guiding policy and regulation #279	Europe	Italy
280	Regime 280	Nation-State Governance	Traditional state model with centralized authority #280	Americas	Argentina
281	Regime 281	Market-Dominant Governance	Economic-driven governance emphasizing market forces #281	Oceania	Australia
282	Regime 282	Algorithmic Governance	Automated decision systems guiding policy and regulation #282	Global	United Nations
283	Regime 283	Nation-State Governance	Traditional state model with centralized authority #283	Africa	South Africa
284	Regime 284	Market-Dominant Governance	Economic-driven governance emphasizing market forces #284	Asia	South Korea
285	Regime 285	Algorithmic Governance	Automated decision systems guiding policy and regulation #285	Europe	Spain
286	Regime 286	Nation-State Governance	Traditional state model with centralized authority #286	Americas	United States
287	Regime 287	Market-Dominant Governance	Economic-driven governance emphasizing market forces #287	Oceania	New Zealand
288	Regime 288	Algorithmic Governance	Automated decision systems guiding policy and regulation #288	Global	Multinational Consortium
289	Regime 289	Nation-State Governance	Traditional state model with centralized authority #289	Africa	Egypt
290	Regime 290	Market-Dominant Governance	Economic-driven governance emphasizing market forces #290	Asia	Indonesia
291	Regime 291	Algorithmic Governance	Automated decision systems guiding policy and regulation #291	Europe	United Kingdom
292	Regime 292	Nation-State Governance	Traditional state model with centralized authority #292	Americas	Canada
293	Regime 293	Market-Dominant Governance	Economic-driven governance emphasizing market forces #293	Oceania	Fiji
294	Regime 294	Algorithmic Governance	Automated decision systems guiding policy and regulation #294	Global	Global Financial Forum
295	Regime 295	Nation-State Governance	Traditional state model with centralized authority #295	Africa	Ghana
296	Regime 296	Market-Dominant Governance	Economic-driven governance emphasizing market forces #296	Asia	China
297	Regime 297	Algorithmic Governance	Automated decision systems guiding policy and regulation #297	Europe	Germany
298	Regime 298	Nation-State Governance	Traditional state model with centralized authority #298	Americas	Brazil
299	Regime 299	Market-Dominant Governance	Economic-driven governance emphasizing market forces #299	Oceania	Papua New Guinea
300	Regime 300	Algorithmic Governance	Automated decision systems guiding policy and regulation #300	Global	International Coalition
301	Regime 301	Nation-State Governance	Traditional state model with centralized authority #301	Africa	Nigeria
302	Regime 302	Market-Dominant Governance	Economic-driven governance emphasizing market forces #302	Asia	India
303	Regime 303	Algorithmic Governance	Automated decision systems guiding policy and regulation #303	Europe	France
304	Regime 304	Nation-State Governance	Traditional state model with centralized authority #304	Americas	Mexico
305	Regime 305	Market-Dominant Governance	Economic-driven governance emphasizing market forces #305	Oceania	Samoa
306	Regime 306	Algorithmic Governance	Automated decision systems guiding policy and regulation #306	Global	European Union
307	Regime 307	Nation-State Governance	Traditional state model with centralized authority #307	Africa	Kenya
308	Regime 308	Market-Dominant Governance	Economic-driven governance emphasizing market forces #308	Asia	Japan
309	Regime 309	Algorithmic Governance	Automated decision systems guiding policy and regulation #309	Europe	Italy
310	Regime 310	Nation-State Governance	Traditional state model with centralized authority #310	Americas	Argentina
311	Regime 311	Market-Dominant Governance	Economic-driven governance emphasizing market forces #311	Oceania	Australia
312	Regime 312	Algorithmic Governance	Automated decision systems guiding policy and regulation #312	Global	United Nations
